CODE,PH,WEIGHT_KDA,ATOM_COUNT,RES_COUNT,CHAINS,PERCENT_HELIX
3BJ1,5.7,65.77,4974,574,2,79
3BJ2,6.3,65.77,4950,576,2,79
3BJ3,8.0,65.77,4828,476,2,76
